stopCode;stopName;ligneArret
31DC;31.Déc;NP
AAIN;Av. de l'Ain;NC
ABBA;L'Abbaye;NK
ACIA;Acacias;NV
AIRE;Aïre;NC
AIVI;Aire-la-Ville;NJ
AJEN;Jeandin;NV
AJUR;Avenue du Jura;NE
ALEC;Avully-Ecole;NJ
ALVI;Avully-Village;NJ
AMDO;Amandolier(SNCF);NK
ANCH;Anières-Chavannes;NS
ANCI;Ancienne;NM, NO
ANDO;Anières-Douane;NP
ANGA;Annemasse Gare;NV
ANGR;Anières-Gravière;NS
ANRS;Anières-Village;NS
APIA;Appia;ND
ARAR;Arare;NM
ARME;Armes;NC, NM, NO
ATEC;Athenaz-Ecole;NM
ATHE;Athénée;NO
ATVI;Athenaz-Village;NM
AUBI;Merle-d'Aubigné;NS
AUGS;Augustins;NM
AUMO;Aumônes;NK
AVIA;Aviateurs;NM
BAIR;Bel-Air;NA, NC, NE, NJ, NK, NO, NP, NT, NV
BASL;Basselat;NK
BAUD;Curé-Baud;NM
BBAY;Bois-de-Bay;NC
BCRE;Baulacre;NT
BDOU;Bourdigny-Douane;NC
BELL;Bellerive;NS
BESS;Bessinge;NS
BGRI;Les Bougeries;NP
BHET;Bachet-de-Pesay;NM
BISE;La Bise;NS
BLAN;Blanche;NM
BLDO;Blandonnet;NA
BLHE;Blanché;NT
BLOC;Château-Bloch;NC
BLOE;Baron de Loë;NV
BLTE;La Belotte;NS
BMON;Bout-du-Monde;NO
BNDL;Bandol;NJ
BOBO;Bogis-Bossey;NT
BOCA;Bois-Caran;NS
BOHT;Bouchet;NA
BOIS;Boissier;NS
BOLX;Bouleaux;NC
BOND;La Blonde;NP
BOQU;Boqueteaux;NO
BORN;Ch. des Bornes;NK
BOSY;Bossy;NT
BOUV;Les Bouveries;NJ
BRUN;Brunette;NE
BSOU;Boudigny-Dessous;NC
BSUS;Bourdigny-Dessus;NC
BTNI;Butini;ND
BUTN;Pont-Butin;NC
BVYL;Bovy-Lysberg;NO
BXEG;Bernex-Eglise;NJ
BXMA;Bernex-Mairie;NJ
BXPL;Bernex-Place;NJ
BXSA;Bernex-Saule;NJ
CAAM;Carre-d'Amont;NP
CADO;Cara-Douane;NK
CALA;Calas;NO
CAMA;Carouge-Marché;NM, NO
CAPI;Capite;NS
CARO;Caron;ND
CARR;Rue Carrée;NC
CAVX;Canal de Versoix;NT
CBFO;Chamb-Fontaine;ND
CBOI;Chemin des Bois;NO
CBPL;Chambésy-Place;ND
CCHA;Crêts-de-Champel;NO
CCLA;Coll.Claparède;NV
CCOL;Croisée Cologny;NP
CCOT;Charcot;NV
CEAU;Croisée Eaumorte;NJ
CEGA;Céligny Gare;ND
CELI;Céligny;ND
CERN;CERN;NA
CESL;CES P. Langevin;NV
CETX;Certoux;NM
CFOU;Ch. des Fours;NS
